Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-05 16:30,Close entry(s) order Short,3.4552,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193
1,Entry short,2025-08-01 16:00,Short,3.5248,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193
2,Exit short,2025-08-06 23:30,Short Exit,3.4871,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40
2,Entry short,2025-08-06 03:30,Short,3.3857,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40
3,Exit long,2025-08-10 12:00,Long Exit,4.006,14.15,50.7419,5.89,11.60,5.92,11.66,-0.04,-0.08,4.98,4.98,131
3,Entry long,2025-08-07 18:30,Long,3.586,14.15,50.7419,5.89,11.60,5.92,11.66,-0.04,-0.08,4.98,4.98,131
4,Exit short,2025-08-13 02:00,Short Exit,3.8954,13.29,49.670046,-2.15,-4.33,1.84,3.70,-2.12,-4.28,2.83,2.83,61
4,Entry short,2025-08-11 19:30,Short,3.7374,13.29,49.670046,-2.15,-4.33,1.84,3.70,-2.12,-4.28,2.83,2.83,61
5,Exit long,2025-08-14 20:30,Long Exit,3.8744,17.17,68.587282,-2.13,-3.11,3.21,4.68,-2.1,-3.06,0.69,0.69,53
5,Entry long,2025-08-13 18:00,Long,3.9946,17.17,68.587282,-2.13,-3.11,3.21,4.68,-2.1,-3.06,0.69,0.69,53
6,Exit short,2025-08-15 12:00,Short Exit,3.8438,11.91,43.768059,-2.06,-4.70,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13
6,Entry short,2025-08-15 05:30,Short,3.6749,11.91,43.768059,-2.06,-4.70,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13
7,Exit short,2025-08-17 11:00,Short Exit,3.7908,14,51.0944,-2.03,-3.97,0.44,0.87,-2,-3.92,-3.39,-3.39,70
7,Entry short,2025-08-16 00:00,Short,3.6496,14,51.0944,-2.03,-3.97,0.44,0.87,-2,-3.92,-3.39,-3.39,70
8,Exit long,2025-08-18 02:30,Long Exit,3.7732,28.49,109.432939,-2.04,-1.87,1.43,1.30,-1.99,-1.82,-5.43,-5.43,13
8,Entry long,2025-08-17 20:00,Long,3.8411,28.49,109.432939,-2.04,-1.87,1.43,1.30,-1.99,-1.82,-5.43,-5.43,13
9,Exit short,2025-08-22 11:00,Close entry(s) order Short,3.439,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.85,-2.85,193
9,Entry short,2025-08-18 10:30,Short,3.6454,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.85,-2.85,193
10,Exit short,2025-08-22 22:00,Short Exit,3.4206,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.87,-4.87,3
10,Entry short,2025-08-22 20:30,Short,3.3327,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.87,-4.87,3
11,Exit long,2025-08-25 14:30,Long Exit,3.5638,11.03,41.210286,-1.94,-4.71,1.23,2.99,-1.92,-4.66,-6.81,-6.81,122
11,Entry long,2025-08-23 01:30,Long,3.7362,11.03,41.210286,-1.94,-4.71,1.23,2.99,-1.92,-4.66,-6.81,-6.81,122
12,Exit short,2025-09-02 16:30,Close entry(s) order Short,3.2724,15.15,50.814615,1.19,2.34,3.73,7.35,-0.75,-1.47,-5.62,-5.62,193
12,Entry short,2025-08-29 16:00,Short,3.3541,15.15,50.814615,1.19,2.34,3.73,7.35,-0.75,-1.47,-5.62,-5.62,193
13,Exit long,2025-09-04 14:00,Long Exit,3.2989,20.4,69.18864,-1.96,-2.83,0.25,0.36,-1.93,-2.78,-7.58,-7.58,30
13,Entry long,2025-09-03 23:00,Long,3.3916,20.4,69.18864,-1.96,-2.83,0.25,0.36,-1.93,-2.78,-7.58,-7.58,30
14,Exit long,2025-09-12 19:00,Close entry(s) order Long,3.6303,23.34,81.12984,3.52,4.33,5.19,6.39,-1.29,-1.59,-4.06,-4.06,193
14,Entry long,2025-09-08 18:30,Long,3.476,23.34,81.12984,3.52,4.33,5.19,6.39,-1.29,-1.59,-4.06,-4.06,193
15,Exit long,2025-09-13 20:30,Long Exit,3.8584,34.47,127.249452,5.62,4.41,5.69,4.47,-0.85,-0.66,1.56,1.56,34
15,Entry long,2025-09-13 03:30,Long,3.6916,34.47,127.249452,5.62,4.41,5.69,4.47,-0.85,-0.66,1.56,1.56,34
16,Exit short,2025-09-16 21:00,Short Exit,3.6231,21.59,76.186792,-2.11,-2.77,1.51,1.99,-2.07,-2.72,-0.56,-0.56,53
16,Entry short,2025-09-15 18:30,Short,3.5288,21.59,76.186792,-2.11,-2.77,1.51,1.99,-2.07,-2.72,-0.56,-0.56,53
17,Exit long,2025-09-21 17:30,Long Exit,3.5965,12.58,47.235384,-2.04,-4.31,2.73,5.78,-2.02,-4.26,-2.59,-2.59,166
17,Entry long,2025-09-18 06:30,Long,3.7548,12.58,47.235384,-2.04,-4.31,2.73,5.78,-2.02,-4.26,-2.59,-2.59,166
18,Exit short,2025-09-22 14:00,Short Exit,3.2528,21.57,76.008366,5.77,7.59,5.81,7.64,-0.36,-0.47,3.18,3.18,8
18,Entry short,2025-09-22 10:00,Short,3.5238,21.57,76.008366,5.77,7.59,5.81,7.64,-0.36,-0.47,3.18,3.18,8
19,Exit short,2025-09-24 19:30,Short Exit,3.3999,16.52,54.103,-2.12,-3.91,0.7,1.29,-2.09,-3.86,1.06,1.06,15
19,Entry short,2025-09-24 12:00,Short,3.275,16.52,54.103,-2.12,-3.91,0.7,1.29,-2.09,-3.86,1.06,1.06,15
20,Exit long,2025-09-25 09:30,Long Exit,3.3244,21.53,73.598152,-2.1,-2.85,0.09,0.12,-2.06,-2.80,-1.04,-1.04,21
20,Entry long,2025-09-24 23:00,Long,3.4184,21.53,73.598152,-2.1,-2.85,0.09,0.12,-2.06,-2.80,-1.04,-1.04,21
21,Exit long,2025-09-30 23:00,Long Exit,3.1609,26.93,87.107778,-2.07,-2.38,2.45,2.81,-2.03,-2.33,-3.11,-3.11,85
21,Entry long,2025-09-29 04:30,Long,3.2346,26.93,87.107778,-2.07,-2.38,2.45,2.81,-2.03,-2.33,-3.11,-3.11,85
22,Exit long,2025-10-03 03:00,Long Exit,3.6303,24.48,83.058192,5.73,6.89,5.77,6.94,-0.33,-0.39,2.62,2.62,65
22,Entry long,2025-10-01 18:30,Long,3.3929,24.48,83.058192,5.73,6.89,5.77,6.94,-0.33,-0.39,2.62,2.62,65
23,Exit short,2025-10-04 21:00,Short Exit,3.5712,31.27,109.620112,-2.16,-1.97,0.41,0.38,-2.11,-1.92,0.46,0.46,6
23,Entry short,2025-10-04 18:00,Short,3.5056,31.27,109.620112,-2.16,-1.97,0.41,0.38,-2.11,-1.92,0.46,0.46,6
24,Exit long,2025-10-06 03:00,Long Exit,3.5522,16.57,60.868238,-2.07,-3.40,0.24,0.40,-2.04,-3.35,-1.61,-1.61,37
24,Entry long,2025-10-05 08:30,Long,3.6734,16.57,60.868238,-2.07,-3.40,0.24,0.40,-2.04,-3.35,-1.61,-1.61,37
25,Exit long,2025-10-07 16:00,Long Exit,3.5806,21.55,79.129445,-2.05,-2.58,0.77,0.97,-2.01,-2.54,-3.66,-3.66,32
25,Entry long,2025-10-07 00:00,Long,3.6719,21.55,79.129445,-2.05,-2.58,0.77,0.97,-2.01,-2.54,-3.66,-3.66,32
26,Exit short,2025-10-11 04:30,Short Exit,3.1802,16.93,59.622381,5.72,9.60,5.75,9.64,-0.76,-1.27,2.07,2.07,155
26,Entry short,2025-10-07 23:00,Short,3.5217,16.93,59.622381,5.72,9.60,5.75,9.64,-0.76,-1.27,2.07,2.07,155
27,Exit long,2025-10-14 12:30,Long Exit,2.8017,15.43,45.27162,-2.09,-4.60,1.2,2.65,-2.06,-4.56,-0.02,-0.02,18
27,Entry long,2025-10-14 03:30,Long,2.934,15.43,45.27162,-2.09,-4.60,1.2,2.65,-2.06,-4.56,-0.02,-0.02,18
28,Exit short,2025-10-17 14:30,Short Exit,2.4266,21.5,58.1704,5.94,10.21,5.97,10.26,-0.78,-1.34,5.93,5.93,75
28,Entry short,2025-10-16 01:00,Short,2.7056,21.5,58.1704,5.94,10.21,5.97,10.26,-0.78,-1.34,5.93,5.93,75
29,Exit long,2025-10-20 08:30,Long Exit,2.5249,18.2,48.0662,-2.16,-4.49,0.07,0.15,-2.14,-4.44,3.77,3.77,20
29,Entry long,2025-10-19 22:30,Long,2.641,18.2,48.0662,-2.16,-4.49,0.07,0.15,-2.14,-4.44,3.77,3.77,20
30,Exit long,2025-10-21 00:00,Long Exit,2.5858,29.76,79.030656,-2.16,-2.73,0.63,0.79,-2.12,-2.68,1.61,1.61,19
30,Entry long,2025-10-20 14:30,Long,2.6556,29.76,79.030656,-2.16,-2.73,0.63,0.79,-2.12,-2.68,1.61,1.61,19
31,Exit short,2025-10-21 22:00,Short Exit,2.5411,32.75,81.18725,-2.12,-2.60,0.31,0.38,-2.07,-2.55,-0.51,-0.51,16
31,Entry short,2025-10-21 14:00,Short,2.479,32.75,81.18725,-2.12,-2.60,0.31,0.38,-2.07,-2.55,-0.51,-0.51,16
32,Exit long,2025-10-22 04:00,Long Exit,2.5724,18.87,50.53386,-2.04,-4.04,0.08,0.16,-2.02,-3.99,-2.55,-2.55,7
32,Entry long,2025-10-22 00:30,Long,2.678,18.87,50.53386,-2.04,-4.04,0.08,0.16,-2.02,-3.99,-2.55,-2.55,7
33,Exit long,2025-10-26 21:00,Long Exit,2.6313,38.19,94.642458,5.75,6.07,5.8,6.12,-1.47,-1.55,3.2,3.20,102
33,Entry long,2025-10-24 18:00,Long,2.4782,38.19,94.642458,5.75,6.07,5.8,6.12,-1.47,-1.55,3.2,3.20,102
34,Exit long,2025-10-27 17:00,Long Exit,2.6239,34.76,93.27846,-2.16,-2.32,1.13,1.21,-2.12,-2.27,1.04,1.04,17
34,Entry long,2025-10-27 08:30,Long,2.6835,34.76,93.27846,-2.16,-2.32,1.13,1.21,-2.12,-2.27,1.04,1.04,17
35,Exit short,2025-11-02 05:30,Close entry(s) order Short,2.3812,19.43,48.483679,2.17,4.47,5.6,11.54,-1.88,-3.88,3.21,3.21,193
35,Entry short,2025-10-29 05:00,Short,2.4953,19.43,48.483679,2.17,4.47,5.6,11.54,-1.88,-3.88,3.21,3.21,193
36,Exit short,2025-11-05 04:00,Short Exit,1.8591,17.8,39.28638,6.16,15.67,6.17,15.71,-0.4,-1.01,9.37,9.37,80
36,Entry short,2025-11-03 12:00,Short,2.2071,17.8,39.28638,6.16,15.67,6.17,15.71,-0.4,-1.01,9.37,9.37,80
37,Exit long,2025-11-11 15:30,Long Exit,2.0873,28.67,62.033279,-2.25,-3.63,1.86,3.00,-2.22,-3.58,7.11,7.11,71
37,Entry long,2025-11-10 04:00,Long,2.1637,28.67,62.033279,-2.25,-3.63,1.86,3.00,-2.22,-3.58,7.11,7.11,71
38,Exit short,2025-11-14 02:00,Short Exit,1.8798,32.14,66.847986,6.37,9.52,6.4,9.57,-0.95,-1.42,13.48,13.48,107
38,Entry short,2025-11-11 20:30,Short,2.0799,32.14,66.847986,6.37,9.52,6.4,9.57,-0.95,-1.42,13.48,13.48,107
39,Exit short,2025-11-17 01:30,Short Exit,1.6444,34.45,63.4569,6.75,10.63,6.78,10.67,-0.43,-0.67,20.23,20.23,123
39,Entry short,2025-11-14 12:00,Short,1.842,34.45,63.4569,6.75,10.63,6.78,10.67,-0.43,-0.67,20.23,20.23,123
40,Exit short,2025-11-20 10:00,Short Exit,1.6303,30.55,47.398325,-2.46,-5.18,1.3,2.74,-2.43,-5.13,17.77,17.77,18
40,Entry short,2025-11-20 01:00,Short,1.5515,30.55,47.398325,-2.46,-5.18,1.3,2.74,-2.43,-5.13,17.77,17.77,18
41,Exit short,2025-11-21 15:30,Short Exit,1.3293,41.59,62.355887,7.01,11.24,7.04,11.28,-0.09,-0.15,24.78,24.78,10
41,Entry short,2025-11-21 10:30,Short,1.4993,41.59,62.355887,7.01,11.24,7.04,11.28,-0.09,-0.15,24.78,24.78,10
42,Exit short,2025-11-25 00:00,Short Exit,1.422,32.36,43.517728,-2.54,-5.84,1.09,2.50,-2.52,-5.79,22.24,22.24,153
42,Entry short,2025-11-21 19:30,Short,1.3448,32.36,43.517728,-2.54,-5.84,1.09,2.50,-2.52,-5.79,22.24,22.24,153
43,Exit long,2025-11-29 03:30,Close entry(s) order Long,1.5321,29.72,45.3973,0.09,0.20,2.64,5.81,-2.08,-4.57,22.33,22.33,193
43,Entry long,2025-11-25 03:00,Long,1.5275,29.72,45.3973,0.09,0.20,2.64,5.81,-2.08,-4.57,22.33,22.33,193